names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,reprint,artist,price
Aerial Assault,Sorcery,None,Core Set 2020,Common,3,White,True,True,True,True,b'Dan Scott',0.04
"Ajani, Strength of the Pride",Legendary Planeswalker,Ajani,Core Set 2020,Mythic Rare,4,White,True,True,True,True,b'Chris Rallis',10.36
Ancestral Blade,Artifact,Equipment,Core Set 2020,Uncommon,2,White,True,True,True,True,b'Scott Murphy',0.08
Angel of Vitality,Creature,Angel,Core Set 2020,Uncommon,3,White,True,True,True,True,b'Johannes Voss',0.29
Angelic Gift,Enchantment,Aura,Core Set 2020,Common,2,White,True,True,True,True,b'Josu Hernaiz',0.08
Apostle of Purifying Light,Creature,Human Cleric,Core Set 2020,Uncommon,2,White,True,True,True,True,b'Bastien L. Deharme',0.23
Battalion Foot Soldier,Creature,Human Soldier,Core Set 2020,Common,3,White,True,True,True,True,b'Cristi Balanescu',0.05
Bishop of Wings,Creature,Human Cleric,Core Set 2020,Rare,2,White,True,True,True,True,b'Matt Stewart',0.48
Brought Back,Instant,None,Core Set 2020,Rare,2,White,True,True,True,True,b'Mitchell Malloy',0.53
Cavalier of Dawn,Creature,Elemental Knight,Core Set 2020,Mythic Rare,5,White,True,True,True,True,b'Daarken',2.9
Dawning Angel,Creature,Angel,Core Set 2020,Common,5,White,True,True,True,True,b'Yongjae Choi',0.05
Daybreak Chaplain,Creature,Human Cleric,Core Set 2020,Common,2,White,True,True,True,True,b'Volkan Ba\xc7\xb5a',0.02
Devout Decree,Sorcery,None,Core Set 2020,Uncommon,2,White,True,True,True,True,b'Zoltan Boros',0.21
Disenchant,Instant,None,Core Set 2020,Common,2,White,True,True,True,True,b'Victor Adame Minguez',0.12
Eternal Isolation,Sorcery,None,Core Set 2020,Uncommon,2,White,True,True,True,True,b'Johan Grenier',0.06
Fencing Ace,Creature,Human Soldier,Core Set 2020,Uncommon,2,White,True,True,True,True,b'David Rapoza',0.06
Gauntlets of Light,Enchantment,Aura,Core Set 2020,Uncommon,3,White,True,True,True,True,b'Ekaterina Burmak',0.08
Glaring Aegis,Enchantment,Aura,Core Set 2020,Common,1,White,True,True,True,True,b'Anthony Palumbo',0.05
Gods Willing,Instant,None,Core Set 2020,Uncommon,1,White,True,True,True,True,b'Mark Winters',0.18
Griffin Protector,Creature,Griffin,Core Set 2020,Common,4,White,True,True,True,True,b'Christopher Moeller',0.03
Griffin Sentinel,Creature,Griffin,Core Set 2020,Common,3,White,True,True,True,True,b'Warren Mahy',0.03
Hanged Executioner,Creature,Spirit,Core Set 2020,Rare,3,White,True,True,True,True,b'Johann Bodin',0.37
Herald of the Sun,Creature,Angel,Core Set 2020,Uncommon,6,White,True,True,True,True,b'Micah Epstein',0.05
Inspired Charge,Instant,None,Core Set 2020,Common,4,White,True,True,True,True,b'Wayne Reynolds',0.04
Inspiring Captain,Creature,Human Knight,Core Set 2020,Common,4,White,True,True,True,True,b'Ben Maier',0.03
Leyline of Sanctity,Enchantment,None,Core Set 2020,Rare,4,White,True,True,True,True,b'Noah Bradley',2.15
Loxodon Lifechanter,Creature,Elephant Cleric,Core Set 2020,Rare,6,White,True,True,True,True,b'Nicholas Gregory',0.14
Loyal Pegasus,Creature,Pegasus,Core Set 2020,Uncommon,1,White,True,True,True,True,b'John Severin Brassell',0.09
Master Splicer,Creature,Human Artificer,Core Set 2020,Uncommon,4,White,True,True,True,True,b'Chippy',0.06
Moment of Heroism,Instant,None,Core Set 2020,Common,2,White,True,True,True,True,b'Christopher Moeller',0.06
Moorland Inquisitor,Creature,Human Soldier,Core Set 2020,Common,2,White,True,True,True,True,b'David Palumbo',0.02
Pacifism,Enchantment,Aura,Core Set 2020,Common,2,White,True,True,True,True,b'Jesper Ejsing',0.06
Planar Cleansing,Sorcery,None,Core Set 2020,Rare,6,White,True,True,True,True,b'Michael Komarck',0.24
Raise the Alarm,Instant,None,Core Set 2020,Common,2,White,True,True,True,True,b'Zoltan Boros',0.11
Rule of Law,Enchantment,None,Core Set 2020,Uncommon,3,White,True,True,True,True,b'Scott M. Fischer',0.17
"Sephara, Sky's Blade",Legendary Creature,Angel,Core Set 2020,Rare,7,White,True,True,True,True,b'Livia Prima',0.65
Soulmender,Creature,Human Cleric,Core Set 2020,Common,1,White,True,True,True,True,b'James Ryman',0.03
Squad Captain,Creature,Human Soldier,Core Set 2020,Common,5,White,True,True,True,True,b'Cristi Balanescu',0.03
Starfield Mystic,Creature,Human Cleric,Core Set 2020,Rare,2,White,True,True,True,True,b'Eric Deschamps',1.04
Steadfast Sentry,Creature,Human Soldier,Core Set 2020,Common,3,White,True,True,True,True,b'Bram Sels',0.03
Yoked Ox,Creature,Ox,Core Set 2020,Common,1,White,True,True,True,True,b'Ryan Yee',0.04
Aether Gust,Instant,None,Core Set 2020,Uncommon,2,Blue,True,True,True,True,b'Tomasz Jedruszek',0.46
Agent of Treachery,Creature,Human Rogue,Core Set 2020,Rare,7,Blue,True,True,True,True,b'Igor Kieryluk',7.83
Air Elemental,Creature,Elemental,Core Set 2020,Uncommon,5,Blue,True,True,True,True,b'Tomasz Jedruszek',0.03
Anticipate,Instant,None,Core Set 2020,Common,2,Blue,True,True,True,True,b'Tyler Jacobson',0.09
"Atemsis, All-Seeing",Legendary Creature,Sphinx,Core Set 2020,Rare,6,Blue,True,True,True,True,b'Ryan Pancoast',0.25
Befuddle,Instant,None,Core Set 2020,Common,3,Blue,True,True,True,True,b'Svetlin Velinov',0.03
Bone to Ash,Instant,None,Core Set 2020,Common,4,Blue,True,True,True,True,b'Clint Cearley',0.03
Boreal Elemental,Creature,Elemental,Core Set 2020,Common,5,Blue,True,True,True,True,b'Victor Adame Minguez',0.03
Brineborn Cutthroat,Creature,Merfolk Pirate,Core Set 2020,Uncommon,2,Blue,True,True,True,True,b'Caio Monteiro',0.17
Captivating Gyre,Sorcery,None,Core Set 2020,Uncommon,6,Blue,True,True,True,True,b'Anthony Palumbo',0.05
Cavalier of Gales,Creature,Elemental Knight,Core Set 2020,Mythic Rare,5,Blue,True,True,True,True,b'Viktor Titov',3.33
Cerulean Drake,Creature,Drake,Core Set 2020,Uncommon,2,Blue,True,True,True,True,b'Daniel Ljunggren',0.19
Cloudkin Seer,Creature,Elemental Wizard,Core Set 2020,Common,3,Blue,True,True,True,True,b'Anastasia Ovchinnikova',0.13
Convolute,Instant,None,Core Set 2020,Common,3,Blue,True,True,True,True,b'Viktor Titov',0.06
Drawn from Dreams,Sorcery,None,Core Set 2020,Rare,4,Blue,True,True,True,True,b'Chris Seaman',0.29
Dungeon Geists,Creature,Spirit,Core Set 2020,Rare,4,Blue,True,True,True,True,b'Nils Hamm',0.19
Faerie Miscreant,Creature,Faerie Rogue,Core Set 2020,Common,1,Blue,True,True,True,True,b'Steven Belledin',0.1
Flood of Tears,Sorcery,None,Core Set 2020,Rare,6,Blue,True,True,True,True,b'Adam Paquette',0.83
Fortress Crab,Creature,Crab,Core Set 2020,Common,4,Blue,True,True,True,True,b'Vincent Proce',0.04
Frilled Sea Serpent,Creature,Serpent,Core Set 2020,Common,6,Blue,True,True,True,True,b'Steven Belledin',0.02
Frost Lynx,Creature,Elemental Cat,Core Set 2020,Common,3,Blue,True,True,True,True,b'Izzy',0.04
Hard Cover,Enchantment,Aura,Core Set 2020,Uncommon,1,Blue,True,True,True,True,b'Pindurski',0.05
Leyline of Anticipation,Enchantment,None,Core Set 2020,Rare,4,Blue,True,True,True,True,b'Noah Bradley',4.68
Masterful Replication,Instant,None,Core Set 2020,Rare,6,Blue,True,True,True,True,b'Victor Adame Minguez',0.19
Metropolis Sprite,Creature,Faerie Rogue,Core Set 2020,Common,2,Blue,True,True,True,True,b'Scott Chou',0.04
Moat Piranhas,Creature,Fish,Core Set 2020,Common,2,Blue,True,True,True,True,b'Rudy Siswanto',0.03
"Mu Yanling, Sky Dancer",Legendary Planeswalker,Yanling,Core Set 2020,Mythic Rare,3,Blue,True,True,True,True,b'G-host Lee',2.08
Negate,Instant,None,Core Set 2020,Common,2,Blue,True,True,True,True,b'Magali Villeneuve',0.12
Octoprophet,Creature,Octopus,Core Set 2020,Common,4,Blue,True,True,True,True,b'Grzegorz Rutkowski',0.07
Portal of Sanctuary,Artifact,None,Core Set 2020,Uncommon,3,Blue,True,True,True,True,b'Randy Vargas',0.1
Renowned Weaponsmith,Creature,Human Artificer,Core Set 2020,Uncommon,2,Blue,True,True,True,True,b'Eric Deschamps',0.08
Sage's Row Denizen,Creature,Vedalken Wizard,Core Set 2020,Common,3,Blue,True,True,True,True,b'Svetlin Velinov',0.04
Scholar of the Ages,Creature,Human Wizard,Core Set 2020,Uncommon,7,Blue,True,True,True,True,b'Micah Epstein',0.12
Sleep Paralysis,Enchantment,Aura,Core Set 2020,Common,4,Blue,True,True,True,True,b'Josu Hernaiz',0.03
Spectral Sailor,Creature,Spirit Pirate,Core Set 2020,Uncommon,1,Blue,True,True,True,True,b'Cristi Balanescu',0.3
Tale's End,Instant,None,Core Set 2020,Rare,2,Blue,True,True,True,True,b'Randy Vargas',0.64
Unsummon,Instant,None,Core Set 2020,Common,1,Blue,True,True,True,True,b'Izzy',0.11
Warden of Evos Isle,Creature,Bird Wizard,Core Set 2020,Uncommon,3,Blue,True,True,True,True,b'Nils Hamm',0.14
Winged Words,Sorcery,None,Core Set 2020,Common,3,Blue,True,True,True,True,b'Chris Seaman',0.12
Yarok's Wavecrasher,Creature,Elemental,Core Set 2020,Uncommon,4,Blue,True,True,True,True,b'Randy Vargas',0.1
Zephyr Charge,Enchantment,None,Core Set 2020,Common,2,Blue,True,True,True,True,b'Steve Prescott',0.02
Agonizing Syphon,Sorcery,None,Core Set 2020,Common,4,Black,True,True,True,True,b'Seb McKinnon',0.05
Audacious Thief,Creature,Human Rogue,Core Set 2020,Common,3,Black,True,True,True,True,b'Dmitry Burmak',0.06
Barony Vampire,Creature,Vampire,Core Set 2020,Common,3,Black,True,True,True,True,b'Daarken',0.05
Bladebrand,Instant,None,Core Set 2020,Common,2,Black,True,True,True,True,b'Winona Nelson',0.05
Blightbeetle,Creature,Insect,Core Set 2020,Uncommon,2,Black,True,True,True,True,b'Jason Kang',0.16
Blood Burglar,Creature,Vampire Rogue,Core Set 2020,Common,2,Black,True,True,True,True,b'Cristi Balanescu',0.06
Blood for Bones,Sorcery,None,Core Set 2020,Uncommon,4,Black,True,True,True,True,b'Seb McKinnon',0.27
Bloodsoaked Altar,Artifact,None,Core Set 2020,Uncommon,6,Black,True,True,True,True,b'Sidharth Chaturvedi',0.09
